num_vertices,rec_param,alg_sol_cost,minmax_sol_cost,experiment_num,alg_eval_cost,minmax_eval_cost
67,0,13824.983732657467,13824.983732657469,1,13137.704530104607,13137.704530104606
67,0,13824.983732657467,13824.983732657469,2,12960.537249171095,12960.537249171095
67,0,13824.983732657467,13824.983732657469,3,13049.522431752339,13049.522431752339
67,0,13824.983732657467,13824.983732657469,4,13097.633749114591,13097.633749114591
67,0,13824.983732657467,13824.983732657469,5,13107.354585228768,13107.354585228768
67,0,13824.983732657467,13824.983732657469,6,13138.27587492785,13138.275874927847
67,0,13824.983732657467,13824.983732657469,7,13123.982848341006,13123.982848341004
67,0,13824.983732657467,13824.983732657469,8,13133.985553272802,13133.985553272802
67,0,13824.983732657467,13824.983732657469,9,13128.703543380165,13128.703543380165
67,0,13824.983732657467,13824.983732657469,10,13153.390411103834,13153.390411103834
67,20,13673.956307273582,13824.983732657469,1,13011.435593868444,13125.92397902886
67,20,13673.956307273582,13824.983732657469,2,13010.878339558174,13166.483623692842
67,20,13673.956307273582,13824.983732657469,3,12882.186499057792,13079.564797224622
67,20,13673.956307273582,13824.983732657469,4,13065.621701169797,13219.890742613372
67,20,13673.956307273582,13824.983732657469,5,13007.003057019301,13136.990049066902
67,20,13673.956307273582,13824.983732657469,6,12963.405020205568,13099.749731276856
67,20,13673.956307273582,13824.983732657469,7,13063.627177549213,13202.947676325657
67,20,13673.956307273582,13824.983732657469,8,12964.209577465177,13062.97883496089
67,20,13673.956307273582,13824.983732657469,9,12869.88898752727,13067.762794093369
67,20,13673.956307273582,13824.983732657469,10,12961.811636772654,13089.165574589522
67,41,13673.956307273582,13824.983732657469,1,12903.62109318343,13023.884819557317
67,41,13673.956307273582,13824.983732657469,2,12949.673387672912,13052.951820352617
67,41,13673.956307273582,13824.983732657469,3,12989.66690789478,13134.506953271273
67,41,13673.956307273582,13824.983732657469,4,13062.49553411426,13225.510512171306
67,41,13673.956307273582,13824.983732657469,5,13040.827323221934,13176.216870345856
67,41,13673.956307273582,13824.983732657469,6,12949.084536117707,13094.52628775931
67,41,13673.956307273582,13824.983732657469,7,13045.426971013108,13240.185756320974
67,41,13673.956307273582,13824.983732657469,8,13204.943733717506,13351.785048855294
67,41,13673.956307273582,13824.983732657469,9,13057.538234187949,13258.151635059212
67,41,13673.956307273582,13824.983732657469,10,13004.268927445124,13145.844258055577
67,103,13673.956307273582,13824.983732657469,1,12964.134965844005,13105.277422866424
67,103,13673.956307273582,13824.983732657469,2,12992.047058340708,13170.508514026027
67,103,13673.956307273582,13824.983732657469,3,13071.37527391301,13195.261920526731
67,103,13673.956307273582,13824.983732657469,4,13054.042920874175,13190.653414155799
67,103,13673.956307273582,13824.983732657469,5,12979.404530231677,13117.938745794432
67,103,13673.956307273582,13824.983732657469,6,12927.425501095277,13037.191816868673
67,103,13673.956307273582,13824.983732657469,7,12986.17315146923,13137.337731885795
67,103,13673.956307273582,13824.983732657469,8,13010.709612163031,13137.381090089177
67,103,13673.956307273582,13824.983732657469,9,13007.71137772503,13161.17153019044
67,103,13673.956307273582,13824.983732657469,10,12990.492161282758,13172.313585286605
67,206,13673.956307273582,13824.983732657469,1,13060.087645778816,13214.126169526773
67,206,13673.956307273582,13824.983732657469,2,12972.148719977198,13102.149869003932
67,206,13673.956307273582,13824.983732657469,3,13000.899037466632,13137.24643801994
67,206,13673.956307273582,13824.983732657469,4,13025.048187985993,13186.942868079881
67,206,13673.956307273582,13824.983732657469,5,13004.386000441253,13147.657733884818
67,206,13673.956307273582,13824.983732657469,6,12992.543890432733,13136.46453658119
67,206,13673.956307273582,13824.983732657469,7,12916.016707984598,13086.2513512624
67,206,13673.956307273582,13824.983732657469,8,13024.572352929383,13188.022445628165
67,206,13673.956307273582,13824.983732657469,9,13038.835428054976,13194.133080944339
67,206,13673.956307273582,13824.983732657469,10,12947.416334701276,13090.827678037242
